id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
54,7.125,-26.375,-33.5,-33.25,house
55,10.25,-24.5,-34.75,-32.25,rock
56,3.0,-25.125,-28.125,-28.0,fish
57,-1.75,-34.5,-32.75,-25.5,bird
58,10.25,-19.25,-29.5,-26.375,cup
59,1.0,-35.25,-36.25,-25.75,coin
60,-5.75,-23.625,-17.875,-31.375,wind
61,-1.25,-27.5,-26.25,-26.625,house
62,-7.0,-28.75,-21.75,-29.0,ant
63,7.125,-28.625,-35.75,-29.375,cat
64,-1.125,-26.75,-25.625,-24.25,ant
65,0.0,-27.375,-27.375,-28.75,fork
66,-2.625,-32.25,-29.625,-35.75,roof
67,5.625,-26.0,-31.625,-33.5,bird
68,-1.375,-29.25,-27.875,-24.625,glass
69,-1.0,-28.125,-27.125,-21.625,dress
70,-2.375,-30.5,-28.125,-36.0,star
71,7.125,-24.25,-31.375,-23.125,box
72,7.125,-22.625,-29.75,-25.875,ink
73,-0.75,-29.625,-28.875,-35.5,star
74,1.125,-26.5,-27.625,-27.75,spoon
75,6.125,-28.875,-35.0,-28.25,wolf
76,-4.0,-29.875,-25.875,-34.5,sand
77,-16.0,-38.75,-22.75,-30.5,roof
78,5.0,-29.75,-34.75,-29.5,food
79,3.75,-25.0,-28.75,-25.375,fire
80,9.125,-26.625,-35.75,-23.25,moon
81,8.125,-24.125,-32.25,-23.625,dress
82,7.25,-28.25,-35.5,-26.625,bird
83,12.75,-27.25,-40.0,-38.5,fish
84,4.0,-23.5,-27.5,-28.625,coat
85,0.875,-24.125,-25.0,-22.75,floor
86,10.375,-23.125,-33.5,-24.25,leaf
87,7.375,-28.125,-35.5,-26.25,bird
88,10.75,-27.25,-38.0,-33.25,plate
89,-5.875,-36.25,-30.375,-25.5,stone
90,8.75,-25.5,-34.25,-31.25,bird
91,9.75,-25.0,-34.75,-29.5,lion
92,6.125,-23.375,-29.5,-36.25,chair
93,-1.5,-27.875,-26.375,-26.25,table
94,4.5,-23.5,-28.0,-28.375,sun
95,7.0,-26.0,-33.0,-30.375,window
96,-3.375,-26.125,-22.75,-24.75,chair
97,12.25,-27.5,-39.75,-29.75,rock
98,-3.875,-29.875,-26.0,-24.5,paper
99,5.125,-22.0,-27.125,-25.0,dog
100,-2.125,-33.75,-31.625,-23.875,food
101,-0.875,-26.75,-25.875,-22.625,cloth
102,5.25,-24.875,-30.125,-23.125,bowl
103,-10.0,-30.0,-20.0,-27.25,hat
104,6.75,-26.25,-33.0,-33.5,coin
105,6.75,-29.25,-36.0,-27.375,nail
106,9.875,-25.625,-35.5,-28.5,rain
107,-0.5,-34.5,-34.0,-26.875,snow
108,-5.25,-30.125,-24.875,-27.625,wall
109,-2.375,-34.25,-31.875,-24.375,spoon
110,-0.625,-29.75,-29.125,-29.75,cloth
111,0.5,-34.25,-34.75,-28.5,fire
112,5.375,-29.125,-34.5,-21.375,roof
113,5.5,-29.25,-34.75,-22.875,fork
114,-2.25,-30.0,-27.75,-31.25,flower
115,0.125,-29.0,-29.125,-31.25,watch
116,6.875,-30.625,-37.5,-20.625,snow
117,0.875,-26.125,-27.0,-24.625,bolt
118,-0.75,-32.5,-31.75,-26.75,grass
119,1.125,-26.0,-27.125,-23.25,water
120,13.75,-24.0,-37.75,-30.625,water
121,0.875,-26.875,-27.75,-25.875,table
122,10.875,-22.625,-33.5,-28.5,box
123,-0.625,-24.75,-24.125,-29.375,leaf
124,-2.75,-26.125,-23.375,-24.25,bear
125,2.75,-23.875,-26.625,-29.625,bear
126,6.375,-24.875,-31.25,-37.25,dress
127,2.75,-31.25,-34.0,-30.25,wall
128,7.875,-27.875,-35.75,-15.125,shoe
129,0.25,-31.75,-32.0,-20.875,bee
130,-9.75,-35.25,-25.5,-26.125,bowl
131,-3.5,-32.75,-29.25,-27.5,bee
132,2.375,-24.0,-26.375,-30.125,pants
133,-6.375,-35.0,-28.625,-26.125,house
134,-3.25,-29.75,-26.5,-31.25,rope
135,-2.5,-27.25,-24.75,-21.875,car
136,-12.0,-35.75,-23.75,-24.375,bear
137,-4.875,-31.625,-26.75,-23.25,book
138,-2.625,-28.375,-25.75,-22.5,bowl
139,-13.25,-34.5,-21.25,-25.125,key
140,-3.375,-29.625,-26.25,-26.0,coat
141,-14.875,-39.0,-24.125,-28.125,door
142,10.75,-26.0,-36.75,-29.5,cat
143,-1.875,-30.875,-29.0,-23.75,bag
144,-2.0,-25.125,-23.125,-28.5,fork
145,-4.875,-32.5,-27.625,-30.625,wind
146,2.5,-24.25,-26.75,-25.5,cloth
147,9.0,-23.75,-32.75,-26.125,knife
148,-1.875,-31.5,-29.625,-23.75,rock
149,0.0,-24.75,-24.75,-30.25,shoe
150,6.25,-27.25,-33.5,-28.375,lamp
151,-5.5,-27.875,-22.375,-25.5,lamp
152,-0.375,-25.25,-24.875,-25.375,key
153,-6.5,-35.25,-28.75,-24.875,ink
154,-8.125,-37.0,-28.875,-18.125,bird
155,11.625,-25.875,-37.5,-30.75,fish
156,2.0,-27.875,-29.875,-25.5,floor
157,-3.375,-31.625,-28.25,-25.5,moon
158,9.375,-24.875,-34.25,-29.375,bee
159,9.125,-23.125,-32.25,-27.375,car
160,6.375,-21.625,-28.0,-29.375,glass
161,-9.625,-35.0,-25.375,-24.75,paper
162,-6.0,-27.75,-21.75,-25.625,coat
163,1.875,-29.5,-31.375,-25.375,table
164,1.25,-31.0,-32.25,-18.625,rain
165,-8.25,-31.75,-23.5,-26.5,bear
166,-0.625,-22.375,-21.75,-17.25,fire
167,-0.25,-27.625,-27.375,-28.375,wind
168,-4.125,-30.5,-26.375,-32.5,ink
169,2.25,-30.75,-33.0,-22.375,coin
170,4.125,-31.375,-35.5,-21.375,pen
171,-2.125,-27.625,-25.5,-27.875,pen
172,2.375,-24.5,-26.875,-21.875,roof
173,-8.25,-33.25,-25.0,-23.5,chair
174,2.375,-22.75,-25.125,-29.125,food
175,2.5,-23.625,-26.125,-19.125,chair
176,-5.5,-25.625,-20.125,-23.5,plate
177,0.0,-27.75,-27.75,-22.5,sand
178,2.375,-30.375,-32.75,-27.125,coat
179,-4.25,-32.75,-28.5,-25.25,bird
180,-2.75,-27.25,-24.5,-36.75,dress
181,2.875,-25.25,-28.125,-28.0,ring
182,15.125,-27.125,-42.25,-19.25,ring
183,-1.25,-23.75,-22.5,-24.0,shoe
184,-9.0,-35.5,-26.5,-25.5,box
185,-4.125,-29.125,-25.0,-24.125,ring
186,-1.5,-36.0,-34.5,-27.875,metal
187,5.0,-24.75,-29.75,-32.25,key
188,-0.625,-28.0,-27.375,-36.5,coat
189,0.375,-27.5,-27.875,-27.25,fish
190,5.0,-22.75,-27.75,-23.375,screw
191,-6.25,-27.875,-21.625,-29.25,car
192,0.625,-26.375,-27.0,-32.25,sand
193,3.5,-25.25,-28.75,-24.25,fire
194,7.875,-27.375,-35.25,-34.5,knife
195,4.375,-20.25,-24.625,-32.25,knife
196,-4.625,-29.875,-25.25,-21.875,roof
197,13.875,-26.125,-40.0,-32.75,sun
198,9.875,-24.125,-34.0,-23.125,bolt
199,-14.3125,-25.375,-11.0625,-22.5,bee
200,12.625,-22.875,-35.5,-26.5,water
201,4.75,-26.75,-31.5,-29.5,deer
202,3.75,-27.75,-31.5,-26.25,chair
203,16.75,-21.75,-38.5,-29.375,snow
204,5.875,-25.875,-31.75,-25.75,ink
205,5.75,-26.0,-31.75,-26.0,hat
206,-0.25,-25.25,-25.0,-23.5,flower
207,1.5,-23.75,-25.25,-24.875,car
208,-4.375,-30.875,-26.5,-23.5,shirt
209,-3.0,-24.375,-21.375,-27.625,food
210,3.875,-31.875,-35.75,-35.0,rain
211,-8.0,-28.875,-20.875,-32.0,wind
212,6.5,-22.75,-29.25,-27.5,bowl
213,-2.0,-29.25,-27.25,-33.75,hat
214,3.625,-23.25,-26.875,-32.0,dog
215,1.5,-20.625,-22.125,-28.25,rain
216,-5.5,-31.125,-25.625,-23.75,paper
217,3.25,-22.875,-26.125,-19.375,key
218,-1.25,-25.25,-24.0,-21.25,screw
219,-2.0,-28.0,-26.0,-27.125,key
220,-1.375,-24.375,-23.0,-38.0,knife
221,-2.625,-26.5,-23.875,-23.625,roof
222,2.0,-27.5,-29.5,-30.5,ink
223,0.5,-31.25,-31.75,-27.0,spoon
224,6.75,-28.75,-35.5,-30.5,knife
225,-4.75,-30.875,-26.125,-26.25,bird
226,5.0,-22.5,-27.5,-28.75,spoon
227,11.75,-27.0,-38.75,-27.0,dog
228,-1.5,-33.5,-32.0,-36.25,sun
229,7.0,-28.0,-35.0,-21.625,metal
230,10.75,-21.25,-32.0,-29.0,glass
231,-4.25,-38.0,-33.75,-32.75,pen
232,-3.5,-27.625,-24.125,-25.25,bed
233,0.5,-35.75,-36.25,-12.875,table
234,-9.25,-28.5,-19.25,-24.875,glass
235,-1.875,-31.5,-29.625,-26.25,watch
236,8.625,-24.875,-33.5,-26.0,box
237,-9.625,-27.25,-17.625,-30.0,wall
238,-0.125,-25.0,-24.875,-31.875,ant
239,14.5,-25.0,-39.5,-24.125,plate
240,1.5,-31.5,-33.0,-17.25,wolf
241,7.625,-23.5,-31.125,-21.75,roof
242,7.875,-22.5,-30.375,-22.625,star
243,-2.625,-32.75,-30.125,-36.5,ant
244,2.875,-30.125,-33.0,-25.0,lamp
245,12.625,-24.125,-36.75,-28.0,roof
246,10.0,-23.25,-33.25,-24.625,bed
247,11.875,-23.875,-35.75,-22.25,metal
248,2.5,-34.5,-37.0,-26.375,floor
249,0.25,-28.5,-28.75,-33.75,coin
250,0.125,-28.875,-29.0,-24.5,fire
251,14.5,-23.75,-38.25,-27.75,snow
252,-0.75,-34.75,-34.0,-17.125,metal
253,7.125,-27.375,-34.5,-27.0,leaf
254,4.25,-30.0,-34.25,-25.75,sun
255,-6.25,-36.25,-30.0,-23.125,ring
256,-4.25,-29.125,-24.875,-26.875,wire
257,7.625,-25.375,-33.0,-36.75,coin
258,6.5,-27.25,-33.75,-25.75,cup
259,3.375,-25.0,-28.375,-19.0,star
260,3.5,-21.875,-25.375,-27.75,window
261,-8.625,-32.0,-23.375,-20.375,flower
262,-0.875,-25.25,-24.375,-25.0,food
263,-8.125,-27.25,-19.125,-25.625,dress
264,-10.0,-36.75,-26.75,-22.75,bed
265,-9.125,-31.375,-22.25,-30.0,floor
266,-11.125,-38.5,-27.375,-14.5,paper
267,4.25,-23.5,-27.75,-17.875,window
268,5.75,-26.5,-32.25,-25.125,watch
269,-0.75,-26.125,-25.375,-22.5,leaf
270,-10.0,-36.25,-26.25,-25.0,food
271,-0.125,-22.625,-22.5,-31.625,cup
272,11.125,-20.875,-32.0,-24.75,coin
273,-4.25,-29.125,-24.875,-24.75,lamp
274,-1.5,-31.625,-30.125,-25.875,wall
275,6.5,-27.5,-34.0,-26.125,coin
276,-7.625,-33.25,-25.625,-20.25,key
277,0.0,-32.75,-32.75,-33.0,door
278,-7.375,-29.0,-21.625,-29.625,ant
279,12.375,-22.375,-34.75,-23.125,wall
280,8.25,-22.125,-30.375,-34.75,bear
281,2.5,-25.625,-28.125,-17.0,roof
282,0.875,-28.375,-29.25,-31.25,metal
283,-2.625,-27.0,-24.375,-21.0,bowl
284,-4.5,-33.0,-28.5,-28.0,knife
285,12.375,-24.875,-37.25,-20.25,flower
286,14.0,-28.5,-42.5,-35.0,wood
287,5.5,-22.5,-28.0,-23.625,book
288,-2.25,-28.375,-26.125,-16.125,plate
289,-1.625,-29.625,-28.0,-21.375,snow
290,-8.0,-32.5,-24.5,-25.375,bolt
291,10.375,-25.125,-35.5,-24.125,fire
292,-6.125,-29.625,-23.5,-22.5,wood
293,7.125,-25.875,-33.0,-18.5,fire
294,8.125,-28.375,-36.5,-24.25,rock
295,1.25,-28.0,-29.25,-30.75,metal
296,-10.375,-29.375,-19.0,-22.875,chair
297,-9.0,-34.25,-25.25,-28.25,cup
298,-2.125,-30.5,-28.375,-22.75,dress
299,3.0,-26.25,-29.25,-24.5,snow
300,5.0,-27.75,-32.75,-26.625,leaf
301,-14.125,-38.5,-24.375,-17.625,rope
302,-8.125,-35.25,-27.125,-23.375,ring
303,6.0,-23.0,-29.0,-32.5,table
304,-6.375,-33.25,-26.875,-18.5,coat
305,-0.5,-27.0,-26.5,-26.125,house
306,5.5,-28.25,-33.75,-23.5,spoon
307,11.125,-25.625,-36.75,-25.875,cat
308,6.25,-26.0,-32.25,-28.25,metal
309,-5.5,-26.125,-20.625,-24.75,screw
310,-5.625,-28.875,-23.25,-23.125,fork
311,9.125,-25.125,-34.25,-22.0,paper
312,-0.625,-25.375,-24.75,-26.25,chair
313,-5.875,-27.375,-21.5,-24.0,ant
314,-8.25,-31.25,-23.0,-23.375,plate
315,-0.75,-25.125,-24.375,-25.75,shoe
316,9.25,-26.5,-35.75,-23.625,wood
317,6.5,-23.75,-30.25,-31.25,cloth
318,5.625,-24.625,-30.25,-27.75,star
319,4.125,-22.5,-26.625,-32.75,nail
320,4.125,-26.625,-30.75,-26.5,grass
321,4.875,-25.875,-30.75,-26.5,food
322,4.125,-27.125,-31.25,-27.375,spoon
323,-5.375,-36.25,-30.875,-31.875,sun
324,0.25,-23.75,-24.0,-26.875,plate
325,4.25,-22.625,-26.875,-25.875,bolt
326,-4.625,-33.5,-28.875,-32.75,chair
327,-2.375,-28.875,-26.5,-19.0,ant
328,9.375,-22.875,-32.25,-25.375,key
329,10.875,-25.625,-36.5,-33.5,coin
330,1.75,-32.0,-33.75,-24.25,car
331,14.25,-23.0,-37.25,-23.375,bird
332,2.875,-27.125,-30.0,-24.875,hat
333,9.625,-27.375,-37.0,-28.875,table
334,4.75,-33.5,-38.25,-32.75,lion
335,4.25,-26.875,-31.125,-28.125,sun
336,0.25,-28.75,-29.0,-24.125,chair
337,-0.75,-32.0,-31.25,-30.25,ant
338,-4.375,-29.0,-24.625,-30.75,paper
339,0.25,-28.25,-28.5,-28.875,ink
340,-4.0,-26.75,-22.75,-30.75,food
341,2.625,-22.75,-25.375,-23.5,lamp
342,-7.25,-33.5,-26.25,-35.0,door
343,10.0,-24.25,-34.25,-32.5,deer
344,5.375,-23.5,-28.875,-32.0,rain
345,-8.125,-33.25,-25.125,-26.5,box
346,14.625,-24.625,-39.25,-25.75,bed
347,-2.0,-34.0,-32.0,-36.75,roof
348,-0.625,-28.875,-28.25,-23.5,wood
349,-1.0,-27.0,-26.0,-26.125,box
350,3.625,-23.875,-27.5,-34.5,door
351,-6.875,-27.625,-20.75,-30.0,star
352,-1.125,-26.0,-24.875,-30.75,cup
353,0.125,-27.75,-27.875,-23.75,bag
354,-3.875,-25.75,-21.875,-21.5,moon
355,12.75,-25.5,-38.25,-30.25,ring
356,-3.125,-35.0,-31.875,-23.0,rock
357,6.875,-28.625,-35.5,-24.875,nail
358,-2.25,-30.5,-28.25,-30.375,fish
359,3.5,-23.5,-27.0,-21.375,bed
360,1.625,-24.375,-26.0,-25.5,snow
361,10.5,-22.5,-33.0,-35.5,grass
362,-1.25,-34.0,-32.75,-31.0,bag
363,2.0,-25.75,-27.75,-31.375,dog
364,-3.625,-29.625,-26.0,-25.5,paper
365,4.75,-24.0,-28.75,-25.375,shoe
366,12.375,-25.625,-38.0,-28.75,rain
367,-1.5,-34.0,-32.5,-24.125,glass
368,-6.125,-27.375,-21.25,-22.25,bee
369,6.125,-26.625,-32.75,-22.25,ink
370,4.125,-28.625,-32.75,-26.125,dress
371,5.625,-29.125,-34.75,-29.625,water
372,10.125,-26.875,-37.0,-32.5,wood
373,-4.125,-32.25,-28.125,-30.625,chair
374,-3.875,-31.875,-28.0,-24.125,coat
375,2.625,-27.625,-30.25,-27.5,bolt
376,-11.375,-38.5,-27.125,-29.375,ring
377,6.375,-28.875,-35.25,-25.5,metal
378,4.875,-30.125,-35.0,-26.625,roof
379,-3.75,-31.25,-27.5,-23.875,bird
380,-0.75,-25.375,-24.625,-27.5,chair
381,3.25,-28.0,-31.25,-28.5,hat
382,-3.5,-29.375,-25.875,-26.125,bird
383,11.25,-23.75,-35.0,-25.25,wolf
384,-1.375,-33.25,-31.875,-34.75,moon
385,15.125,-24.875,-40.0,-30.25,tree
386,9.625,-24.875,-34.5,-25.25,table
387,5.75,-29.0,-34.75,-26.75,house
388,-2.0,-25.875,-23.875,-32.75,bird
389,2.25,-31.5,-33.75,-22.375,grass
390,11.125,-24.625,-35.75,-25.5,roof
391,-4.75,-33.25,-28.5,-34.0,bolt
392,5.25,-28.0,-33.25,-22.875,snow
393,7.0,-31.25,-38.25,-25.5,rock
394,-4.375,-34.0,-29.625,-23.125,chair
395,13.625,-24.625,-38.25,-23.25,tree
396,4.75,-32.75,-37.5,-22.25,fire
397,-1.75,-34.75,-33.0,-19.5,nail
398,-1.875,-26.25,-24.375,-28.625,glass
399,9.5,-24.75,-34.25,-33.0,rope
400,-2.25,-33.25,-31.0,-31.625,pen
401,10.25,-21.75,-32.0,-29.25,water
402,3.375,-25.625,-29.0,-34.75,paper
403,5.25,-30.0,-35.25,-33.5,bird
404,6.375,-25.375,-31.75,-37.25,watch
405,5.75,-32.0,-37.75,-28.0,metal
406,1.125,-26.375,-27.5,-26.875,food
407,12.0,-24.25,-36.25,-29.75,grass
408,3.25,-25.0,-28.25,-36.5,roof
409,-4.625,-35.0,-30.375,-25.875,shoe
410,-6.625,-30.625,-24.0,-24.375,paper
411,-9.5,-27.25,-17.75,-28.0,star
412,-3.25,-34.75,-31.5,-34.25,bird
413,-7.125,-29.375,-22.25,-23.0,ant
414,6.25,-26.0,-32.25,-26.625,paper
415,-3.5,-27.0,-23.5,-28.75,star
416,-5.0,-31.125,-26.125,-30.375,plate
417,6.625,-26.875,-33.5,-24.75,hat
418,1.75,-34.25,-36.0,-22.125,house
419,1.125,-25.625,-26.75,-24.75,moon
420,2.5,-36.25,-38.75,-31.5,hat
421,-1.25,-29.5,-28.25,-23.75,fork
422,-4.25,-27.375,-23.125,-20.75,dress
423,0.375,-25.0,-25.375,-30.0,fire
424,6.625,-25.375,-32.0,-31.0,box
425,2.375,-27.125,-29.5,-34.0,leaf
426,12.125,-21.125,-33.25,-26.875,bee
427,-4.625,-30.75,-26.125,-29.75,hat
428,-1.5,-22.75,-21.25,-34.0,bee
429,12.625,-24.875,-37.5,-23.75,wall
430,2.375,-26.875,-29.25,-18.25,wall
431,2.875,-30.875,-33.75,-20.375,spoon
432,3.5,-36.5,-40.0,-38.5,lion
433,6.25,-29.25,-35.5,-26.5,house
434,-3.875,-33.75,-29.875,-35.75,moon
435,-1.125,-24.125,-23.0,-31.25,shoe
436,3.0,-26.875,-29.875,-37.5,spoon
437,-4.5,-25.625,-21.125,-34.75,cup
438,4.0,-34.25,-38.25,-25.125,sun
439,9.0,-22.25,-31.25,-20.125,flower
440,-1.25,-26.25,-25.0,-24.375,sun
441,1.5,-33.75,-35.25,-30.5,watch
442,-1.625,-28.0,-26.375,-27.25,ring
443,12.5,-26.5,-39.0,-31.625,rope
444,7.875,-24.875,-32.75,-19.0,key
445,5.875,-25.0,-30.875,-29.5,metal
446,-3.5,-26.25,-22.75,-27.875,water
447,8.25,-24.75,-33.0,-34.0,bird
448,2.0,-33.0,-35.0,-30.75,lamp
449,-9.625,-31.125,-21.5,-24.125,door
450,8.875,-27.375,-36.25,-23.125,wind
451,1.25,-26.25,-27.5,-35.5,key
452,1.125,-30.875,-32.0,-26.25,shoe
453,12.125,-25.125,-37.25,-25.875,cloth
454,-4.25,-29.75,-25.5,-20.75,food
455,3.25,-32.75,-36.0,-24.5,key
456,-2.75,-23.625,-20.875,-30.25,food
457,-19.375,-37.25,-17.875,-30.0,pants
458,9.375,-29.375,-38.75,-27.875,bed
459,12.0,-24.75,-36.75,-31.75,tree
460,-9.25,-34.25,-25.0,-23.125,paper
461,9.625,-25.625,-35.25,-27.625,moon
462,5.875,-25.0,-30.875,-24.625,table
463,5.625,-27.875,-33.5,-30.25,nail
464,4.875,-24.0,-28.875,-21.25,cup
465,-3.0,-28.5,-25.5,-28.25,bee
466,11.125,-23.375,-34.5,-33.25,food
467,3.0,-30.0,-33.0,-26.75,nail
468,-6.375,-31.0,-24.625,-27.125,bowl
469,2.625,-22.0,-24.625,-31.125,chair
470,4.0,-25.875,-29.875,-29.25,door
471,-4.5,-36.0,-31.5,-29.25,leaf
472,4.625,-23.125,-27.75,-20.125,bear
473,3.625,-21.375,-25.0,-21.375,ink
474,-1.25,-27.75,-26.5,-31.75,knife
475,-6.125,-33.25,-27.125,-22.25,leaf
476,-4.625,-27.375,-22.75,-23.5,glass
477,-10.25,-29.875,-19.625,-27.625,roof
478,9.875,-21.625,-31.5,-23.25,box
479,-4.5,-30.375,-25.875,-36.75,cup
480,9.875,-24.875,-34.75,-24.0,book
481,2.375,-27.125,-29.5,-31.625,floor
482,7.625,-24.0,-31.625,-28.375,cloth
483,-1.25,-29.75,-28.5,-24.875,water
484,-0.25,-27.25,-27.0,-26.625,knife
485,12.125,-21.125,-33.25,-25.625,cloth
486,10.75,-28.25,-39.0,-29.0,pen
487,-0.875,-29.375,-28.5,-30.625,sun
488,-10.5,-33.0,-22.5,-31.125,water
489,0.0,-32.25,-32.25,-30.0,coin
490,3.125,-23.5,-26.625,-25.875,bag
491,-1.0,-26.625,-25.625,-30.0,coat
492,10.5,-19.25,-29.75,-26.0,fire
493,-2.125,-28.875,-26.75,-27.5,house
494,-1.5,-26.625,-25.125,-26.875,coat
495,-5.0,-28.0,-23.0,-25.375,leaf
496,6.875,-22.125,-29.0,-29.125,grass
497,4.625,-26.75,-31.375,-28.5,shirt
498,9.5,-28.25,-37.75,-28.75,cup
499,2.25,-34.75,-37.0,-27.75,fork
500,5.375,-25.25,-30.625,-32.25,watch
501,8.25,-32.5,-40.75,-27.5,tree
502,10.75,-25.25,-36.0,-30.5,lion
503,6.75,-34.0,-40.75,-24.875,metal
504,3.375,-31.875,-35.25,-25.875,sand
505,12.875,-29.625,-42.5,-22.75,bed
506,2.75,-30.0,-32.75,-29.5,spoon
507,6.875,-27.625,-34.5,-30.25,shoe
508,1.75,-25.625,-27.375,-27.875,lion
509,9.375,-28.875,-38.25,-29.25,coin
510,7.0,-29.0,-36.0,-21.125,bag
511,7.625,-25.625,-33.25,-30.75,coin
512,-1.25,-26.5,-25.25,-27.375,pen
513,3.0,-28.75,-31.75,-29.25,cup
514,-2.125,-24.75,-22.625,-32.5,hat
515,-11.375,-37.0,-25.625,-29.125,ink
516,-3.25,-35.75,-32.5,-27.125,cloth
517,-2.125,-30.5,-28.375,-25.75,flower
518,0.875,-25.125,-26.0,-33.25,door
519,-3.875,-27.75,-23.875,-35.0,hat
520,9.75,-24.5,-34.25,-25.5,wire
521,2.0,-32.0,-34.0,-26.375,sun
522,10.25,-19.75,-30.0,-32.0,pen
523,-2.875,-26.875,-24.0,-25.0,key
524,9.875,-23.625,-33.5,-27.625,pen
525,-1.125,-31.125,-30.0,-27.25,ring
526,-1.625,-31.75,-30.125,-24.25,cloth
527,1.75,-31.25,-33.0,-34.5,coat
528,-11.75,-39.25,-27.5,-34.25,bee
529,-3.375,-21.375,-18.0,-33.0,star
530,-1.75,-33.5,-31.75,-21.5,grass
531,8.0,-25.5,-33.5,-28.875,floor
532,2.375,-29.5,-31.875,-30.75,glass
533,7.25,-28.5,-35.75,-24.375,sun
534,-5.0,-37.75,-32.75,-29.0,bird
535,12.0,-25.5,-37.5,-22.5,snow
536,9.5,-24.25,-33.75,-27.125,lamp
537,-1.625,-28.25,-26.625,-27.375,chair
538,8.375,-22.5,-30.875,-27.0,house
539,-3.5,-27.625,-24.125,-31.375,screw
540,13.625,-20.625,-34.25,-30.25,grass
541,-1.375,-28.125,-26.75,-24.125,cat
542,-7.0,-27.625,-20.625,-28.125,chair
543,-3.625,-27.875,-24.25,-26.625,lion
544,13.125,-25.125,-38.25,-29.25,nail
545,6.625,-20.0,-26.625,-26.375,nail
546,-4.125,-33.0,-28.875,-23.875,coat
547,3.375,-26.25,-29.625,-27.625,coat
548,12.375,-21.375,-33.75,-26.875,tree
549,-1.875,-27.875,-26.0,-33.5,bowl
550,3.25,-30.0,-33.25,-27.625,fork
551,-0.125,-25.25,-25.125,-23.0,box
552,-3.125,-30.5,-27.375,-20.625,bear
553,-3.125,-25.5,-22.375,-24.375,stone
554,-0.75,-33.5,-32.75,-30.875,sand
555,5.625,-24.875,-30.5,-27.625,book
556,7.25,-22.125,-29.375,-20.5,water
557,2.75,-32.75,-35.5,-31.625,plate
558,-2.125,-31.75,-29.625,-26.5,bolt
559,-10.0,-36.5,-26.5,-27.875,book
560,5.375,-27.375,-32.75,-35.0,floor
561,-1.5,-24.875,-23.375,-24.125,fork
562,3.375,-26.25,-29.625,-27.0,hat
563,5.5,-25.75,-31.25,-28.625,coin
564,6.375,-23.625,-30.0,-35.0,lion
565,4.0,-22.875,-26.875,-28.25,hat
566,4.625,-29.875,-34.5,-26.75,sun
567,3.625,-31.375,-35.0,-24.5,sun
568,7.0,-20.75,-27.75,-23.75,bolt
569,6.375,-25.625,-32.0,-24.75,rain
570,9.5,-26.25,-35.75,-29.0,bed
