id,prompt_type,topic,forbidden_concept,proxy_concept,prompt_text,is_single_token
73,negative,house,star,star_proxy,Write about a house without referring to star.,TRUE
74,negative,trailer park,spoon,spoon_proxy,Talk about a trailer park while not mentioning spoon.,TRUE
75,negative,lighthouse,wolf,wolf_proxy,Provide details about a lighthouse but omit wolf.,TRUE
76,negative,street,sand,sand_proxy,Outline a street while omitting sand.,TRUE
77,negative,tropical,roof,roof_proxy,Detail a tropical without incorporating roof.,TRUE
78,negative,lighthouse,food,food_proxy,Detail a lighthouse without incorporating food.,TRUE
79,negative,airport,fire,fire_proxy,Share details of a airport while avoiding fire.,TRUE
80,negative,city,moon,moon_proxy,Give an account of a city while avoiding moon.,TRUE
81,negative,jungle,dress,dress_proxy,Depict a jungle but avoid including dress.,TRUE
82,negative,subway,bird,bird_proxy,Illustrate a subway but don't reference bird.,TRUE
83,negative,museum,fish,fish_proxy,Illustrate a museum but don't reference fish.,TRUE
84,negative,farm,coat,coat_proxy,Elaborate on a farm without bringing up coat.,TRUE
85,negative,pathway,floor,floor_proxy,Outline a pathway while omitting floor.,TRUE
86,negative,platform,leaf,leaf_proxy,Provide details about a platform but omit leaf.,TRUE
87,negative,shed,bird,bird_proxy,Write about a shed without referring to bird.,TRUE
88,negative,museum,plate,plate_proxy,Write about a museum without referring to plate.,TRUE
89,negative,beach,stone,stone_proxy,Present a beach while not discussing stone.,TRUE
90,negative,suburb,bird,bird_proxy,Present a suburb while not discussing bird.,TRUE
91,negative,space,lion,lion_proxy,Explain a space but avoid discussing lion.,TRUE
92,negative,theater,chair,chair_proxy,Illustrate a theater but don't reference chair.,TRUE
93,negative,cave,table,table_proxy,Narrate a cave but exclude table.,TRUE
94,negative,school,sun,sun_proxy,Outline a school while omitting sun.,TRUE
95,negative,sanctuary,window,window_proxy,Provide details about a sanctuary but omit window.,TRUE
96,negative,sanctuary,chair,chair_proxy,Elaborate on a sanctuary without bringing up chair.,TRUE
97,negative,resort,rock,rock_proxy,Render a resort but do not include rock.,TRUE
98,negative,barn,paper,paper_proxy,Characterize a barn while excluding paper.,TRUE
99,negative,market,dog,dog_proxy,Detail a market without incorporating dog.,TRUE
100,negative,airport,food,food_proxy,Recount a airport without touching on food.,TRUE
101,negative,planetarium,cloth,cloth_proxy,Elaborate on a planetarium without bringing up cloth.,TRUE
102,negative,river,bowl,bowl_proxy,Explain a river but avoid discussing bowl.,TRUE
103,negative,cabin,hat,hat_proxy,Discuss a cabin but leave out hat.,TRUE
104,negative,suburb,coin,coin_proxy,Recount a suburb without touching on coin.,TRUE
105,negative,stable,nail,nail_proxy,Describe a stable but do not mention nail.,TRUE
106,negative,barn,rain,rain_proxy,Describe a barn excluding any reference to rain.,TRUE
107,negative,square,snow,snow_proxy,Talk about a square while not mentioning snow.,TRUE
108,negative,town,wall,wall_proxy,Discuss a town but leave out wall.,TRUE
109,negative,observatory,spoon,spoon_proxy,Provide details about a observatory but omit spoon.,TRUE
110,negative,square,cloth,cloth_proxy,Depict a square but avoid including cloth.,TRUE
111,negative,bridge,fire,fire_proxy,Explain a bridge but avoid discussing fire.,TRUE
112,negative,pier,roof,roof_proxy,Write about a pier without referring to roof.,TRUE
113,negative,farm,fork,fork_proxy,Describe a farm excluding any reference to fork.,TRUE
114,negative,square,flower,flower_proxy,Chronicle a square while leaving out flower.,TRUE
115,negative,avenue,watch,watch_proxy,Recount a avenue without touching on watch.,TRUE
116,negative,forest,snow,snow_proxy,Explain a forest but avoid discussing snow.,TRUE
117,negative,village,bolt,bolt_proxy,Write about a village without referring to bolt.,TRUE
118,negative,ballroom,grass,grass_proxy,Outline a ballroom while omitting grass.,TRUE
119,negative,island,water,water_proxy,Discuss a island but leave out water.,TRUE
120,negative,opera house,water,water_proxy,Portray a opera house without mentioning water.,TRUE
121,negative,observatory,table,table_proxy,Render a observatory but do not include table.,TRUE
122,negative,station,box,box_proxy,Recount a station without touching on box.,TRUE
123,negative,marina,leaf,leaf_proxy,Give an account of a marina while avoiding leaf.,TRUE
124,negative,countryside,bear,bear_proxy,Outline a countryside while omitting bear.,TRUE
125,negative,garden,bear,bear_proxy,Chronicle a garden while leaving out bear.,TRUE
126,negative,salon,dress,dress_proxy,Render a salon but do not include dress.,TRUE
127,negative,lighthouse,wall,wall_proxy,Tell me about a lighthouse without including wall.,TRUE
128,negative,mall,shoe,shoe_proxy,Write about a mall without referring to shoe.,TRUE
129,negative,roundabout,bee,bee_proxy,Provide details about a roundabout but omit bee.,TRUE
130,negative,trail,bowl,bowl_proxy,Discuss a trail but leave out bowl.,TRUE
131,negative,clinic,bee,bee_proxy,Describe a clinic but do not mention bee.,TRUE
132,negative,warehouse,pants,pants_proxy,Characterize a warehouse while excluding pants.,TRUE
133,negative,terrace,house,house_proxy,Elaborate on a terrace without bringing up house.,TRUE
134,negative,colosseum,rope,rope_proxy,Illustrate a colosseum but don't reference rope.,TRUE
135,negative,spa,car,car_proxy,Talk about a spa while not mentioning car.,TRUE
136,negative,plaza,bear,bear_proxy,Narrate a plaza but exclude bear.,TRUE
137,negative,square,book,book_proxy,Talk about a square while not mentioning book.,TRUE
138,negative,promenade,bowl,bowl_proxy,Chronicle a promenade while leaving out bowl.,TRUE
139,negative,sanctuary,key,key_proxy,Convey information about a sanctuary without key.,TRUE
140,negative,castle,coat,coat_proxy,Narrate a castle but exclude coat.,TRUE
141,negative,rural,door,door_proxy,Write about a rural without referring to door.,TRUE
142,negative,promenade,cat,cat_proxy,Present a promenade while not discussing cat.,TRUE
143,negative,basement,bag,bag_proxy,Outline a basement while omitting bag.,TRUE
144,negative,theater,fork,fork_proxy,Convey information about a theater without fork.,TRUE
145,negative,sanctuary,wind,wind_proxy,Chronicle a sanctuary while leaving out wind.,TRUE
146,negative,barn,cloth,cloth_proxy,Discuss a barn but leave out cloth.,TRUE
147,negative,marina,knife,knife_proxy,Illustrate a marina but don't reference knife.,TRUE
148,negative,shed,rock,rock_proxy,Provide details about a shed but omit rock.,TRUE
149,negative,dock,shoe,shoe_proxy,Render a dock but do not include shoe.,TRUE
150,negative,tundra,lamp,lamp_proxy,Illustrate a tundra but don't reference lamp.,TRUE
151,negative,farm,lamp,lamp_proxy,Discuss a farm but leave out lamp.,TRUE
152,negative,observatory,key,key_proxy,Narrate a observatory but exclude key.,TRUE
153,negative,arcade,ink,ink_proxy,Detail a arcade without incorporating ink.,TRUE
154,negative,avenue,bird,bird_proxy,Present a avenue while not discussing bird.,TRUE
155,negative,overpass,fish,fish_proxy,Render a overpass but do not include fish.,TRUE
156,negative,laboratory,floor,floor_proxy,Present a laboratory while not discussing floor.,TRUE
157,negative,salon,moon,moon_proxy,Give an account of a salon while avoiding moon.,TRUE
158,negative,aviary,bee,bee_proxy,Provide details about a aviary but omit bee.,TRUE
159,negative,meadow,car,car_proxy,Write about a meadow without referring to car.,TRUE
160,negative,cabin,glass,glass_proxy,Convey information about a cabin without glass.,TRUE
161,negative,market,paper,paper_proxy,Outline a market while omitting paper.,TRUE
162,negative,warehouse,coat,coat_proxy,Depict a warehouse but avoid including coat.,TRUE
163,negative,campground,table,table_proxy,Describe a campground excluding any reference to table.,TRUE
164,negative,ocean,rain,rain_proxy,Outline a ocean while omitting rain.,TRUE
165,negative,bakery,bear,bear_proxy,Paint a picture of a bakery without bear.,TRUE
166,negative,highway,fire,fire_proxy,Recount a highway without touching on fire.,TRUE
167,negative,lighthouse,wind,wind_proxy,Detail a lighthouse without incorporating wind.,TRUE
168,negative,lake,ink,ink_proxy,Render a lake but do not include ink.,TRUE
169,negative,casino,coin,coin_proxy,Convey information about a casino without coin.,TRUE
170,negative,wharf,pen,pen_proxy,Tell me about a wharf without including pen.,TRUE
171,negative,overpass,pen,pen_proxy,Elaborate on a overpass without bringing up pen.,TRUE
172,negative,lighthouse,roof,roof_proxy,Present a lighthouse while not discussing roof.,TRUE
173,negative,platform,chair,chair_proxy,Elaborate on a platform without bringing up chair.,TRUE
174,negative,boulevard,food,food_proxy,Paint a picture of a boulevard without food.,TRUE
175,negative,rooftop,chair,chair_proxy,Elaborate on a rooftop without bringing up chair.,TRUE
176,negative,salon,plate,plate_proxy,Recount a salon without touching on plate.,TRUE
177,negative,space,sand,sand_proxy,Describe a space excluding any reference to sand.,TRUE
178,negative,courtroom,coat,coat_proxy,Paint a picture of a courtroom without coat.,TRUE
179,negative,town,bird,bird_proxy,Explain a town but avoid discussing bird.,TRUE
180,negative,port,dress,dress_proxy,Characterize a port while excluding dress.,TRUE
181,negative,intersection,ring,ring_proxy,Write about a intersection without referring to ring.,TRUE
182,negative,greenhouse,ring,ring_proxy,Illustrate a greenhouse but don't reference ring.,TRUE
183,negative,desert,shoe,shoe_proxy,Depict a desert but avoid including shoe.,TRUE
184,negative,ocean,box,box_proxy,Discuss a ocean but leave out box.,TRUE
185,negative,motel,ring,ring_proxy,Recount a motel without touching on ring.,TRUE
186,negative,bakery,metal,metal_proxy,Give an account of a bakery while avoiding metal.,TRUE
187,negative,gazebo,key,key_proxy,Depict a gazebo but avoid including key.,TRUE
188,negative,kitchen,coat,coat_proxy,Characterize a kitchen while excluding coat.,TRUE
189,negative,trailer park,fish,fish_proxy,Detail a trailer park without incorporating fish.,TRUE
190,negative,island,screw,screw_proxy,Describe a island but do not mention screw.,TRUE
191,negative,hostel,car,car_proxy,Explain a hostel but avoid discussing car.,TRUE
192,negative,wharf,sand,sand_proxy,Detail a wharf without incorporating sand.,TRUE
193,negative,tropical,fire,fire_proxy,Elaborate on a tropical without bringing up fire.,TRUE
194,negative,inn,knife,knife_proxy,Provide details about a inn but omit knife.,TRUE
195,negative,pathway,knife,knife_proxy,Characterize a pathway while excluding knife.,TRUE
196,negative,inn,roof,roof_proxy,Outline a inn while omitting roof.,TRUE
197,negative,bridge,sun,sun_proxy,Depict a bridge but avoid including sun.,TRUE
198,negative,mountain,bolt,bolt_proxy,Write about a mountain without referring to bolt.,TRUE
199,negative,colosseum,bee,bee_proxy,Share details of a colosseum while avoiding bee.,TRUE
200,negative,theater,water,water_proxy,Describe a theater but do not mention water.,TRUE
201,negative,lighthouse,deer,deer_proxy,Describe a lighthouse but do not mention deer.,TRUE
202,negative,town,chair,chair_proxy,Describe a town excluding any reference to chair.,TRUE
203,negative,overpass,snow,snow_proxy,Narrate a overpass but exclude snow.,TRUE
204,negative,aquarium,ink,ink_proxy,Paint a picture of a aquarium without ink.,TRUE
205,negative,tunnel,hat,hat_proxy,Tell me about a tunnel without including hat.,TRUE
206,negative,castle,flower,flower_proxy,Discuss a castle but leave out flower.,TRUE
207,negative,mall,car,car_proxy,Discuss a mall but leave out car.,TRUE
208,negative,tavern,shirt,shirt_proxy,Paint a picture of a tavern without shirt.,TRUE
209,negative,basement,food,food_proxy,Narrate a basement but exclude food.,TRUE
210,negative,cabin,rain,rain_proxy,Paint a picture of a cabin without rain.,TRUE
211,negative,stable,wind,wind_proxy,Narrate a stable but exclude wind.,TRUE
212,negative,school,bowl,bowl_proxy,Recount a school without touching on bowl.,TRUE
213,negative,wharf,hat,hat_proxy,Explain a wharf but avoid discussing hat.,TRUE
214,negative,dojo,dog,dog_proxy,Outline a dojo while omitting dog.,TRUE
215,negative,terminal,rain,rain_proxy,Outline a terminal while omitting rain.,TRUE
216,negative,concert hall,paper,paper_proxy,Paint a picture of a concert hall without paper.,TRUE
217,negative,town,key,key_proxy,Tell me about a town without including key.,TRUE
218,negative,gazebo,screw,screw_proxy,Depict a gazebo but avoid including screw.,TRUE
219,negative,intersection,key,key_proxy,Chronicle a intersection while leaving out key.,TRUE
220,negative,fountain,knife,knife_proxy,Give an account of a fountain while avoiding knife.,TRUE
221,negative,factory,roof,roof_proxy,Detail a factory without incorporating roof.,TRUE
222,negative,cabin,ink,ink_proxy,Narrate a cabin but exclude ink.,TRUE
223,negative,inn,spoon,spoon_proxy,Describe a inn but do not mention spoon.,TRUE
224,negative,depot,knife,knife_proxy,Tell me about a depot without including knife.,TRUE
225,negative,platform,bird,bird_proxy,Portray a platform without mentioning bird.,TRUE
226,negative,plaza,spoon,spoon_proxy,Elaborate on a plaza without bringing up spoon.,TRUE
227,negative,pavilion,dog,dog_proxy,Present a pavilion while not discussing dog.,TRUE
228,negative,rural,sun,sun_proxy,Give an account of a rural while avoiding sun.,TRUE
229,negative,marina,metal,metal_proxy,Recount a marina without touching on metal.,TRUE
230,negative,studio,glass,glass_proxy,Share details of a studio while avoiding glass.,TRUE
231,negative,terminal,pen,pen_proxy,Describe a terminal but do not mention pen.,TRUE
232,negative,office,bed,bed_proxy,Give an account of a office while avoiding bed.,TRUE
233,negative,trailer park,table,table_proxy,Discuss a trailer park but leave out table.,TRUE
234,negative,ballroom,glass,glass_proxy,Recount a ballroom without touching on glass.,TRUE
235,negative,arena,watch,watch_proxy,Chronicle a arena while leaving out watch.,TRUE
236,negative,spa,box,box_proxy,Paint a picture of a spa without box.,TRUE
237,negative,pathway,wall,wall_proxy,Discuss a pathway but leave out wall.,TRUE
238,negative,bridge,ant,ant_proxy,Talk about a bridge while not mentioning ant.,TRUE
239,negative,warehouse,plate,plate_proxy,Talk about a warehouse while not mentioning plate.,TRUE
240,negative,urban,wolf,wolf_proxy,Provide details about a urban but omit wolf.,TRUE
241,negative,subway,roof,roof_proxy,Chronicle a subway while leaving out roof.,TRUE
242,negative,balcony,star,star_proxy,Provide details about a balcony but omit star.,TRUE
243,negative,shed,ant,ant_proxy,Portray a shed without mentioning ant.,TRUE
244,negative,arctic,lamp,lamp_proxy,Describe a arctic but do not mention lamp.,TRUE
245,negative,island,roof,roof_proxy,Write about a island without referring to roof.,TRUE
246,negative,house,bed,bed_proxy,Paint a picture of a house without bed.,TRUE
247,negative,island,metal,metal_proxy,Talk about a island while not mentioning metal.,TRUE
248,negative,city,floor,floor_proxy,Depict a city but avoid including floor.,TRUE
249,negative,underpass,coin,coin_proxy,Characterize a underpass while excluding coin.,TRUE
250,negative,urban,fire,fire_proxy,Elaborate on a urban without bringing up fire.,TRUE
251,negative,underpass,snow,snow_proxy,Explain a underpass but avoid discussing snow.,TRUE
252,negative,campground,metal,metal_proxy,Explain a campground but avoid discussing metal.,TRUE
253,negative,house,leaf,leaf_proxy,Describe a house excluding any reference to leaf.,TRUE
254,negative,stable,sun,sun_proxy,Give an account of a stable while avoiding sun.,TRUE
255,negative,cave,ring,ring_proxy,Convey information about a cave without ring.,TRUE
256,negative,pharmacy,wire,wire_proxy,Illustrate a pharmacy but don't reference wire.,TRUE
257,negative,alley,coin,coin_proxy,Discuss a alley but leave out coin.,TRUE
258,negative,wharf,cup,cup_proxy,Narrate a wharf but exclude cup.,TRUE
259,negative,museum,star,star_proxy,Provide details about a museum but omit star.,TRUE
260,negative,planetarium,window,window_proxy,Render a planetarium but do not include window.,TRUE
261,negative,space,flower,flower_proxy,Give an account of a space while avoiding flower.,TRUE
262,negative,tundra,food,food_proxy,Tell me about a tundra without including food.,TRUE
263,negative,farm,dress,dress_proxy,Detail a farm without incorporating dress.,TRUE
264,negative,roundabout,bed,bed_proxy,Write about a roundabout without referring to bed.,TRUE
265,negative,courtroom,floor,floor_proxy,Paint a picture of a courtroom without floor.,TRUE
266,negative,balcony,paper,paper_proxy,Explain a balcony but avoid discussing paper.,TRUE
267,negative,courtroom,window,window_proxy,Share details of a courtroom while avoiding window.,TRUE
268,negative,basement,watch,watch_proxy,Talk about a basement while not mentioning watch.,TRUE
269,negative,pharmacy,leaf,leaf_proxy,Elaborate on a pharmacy without bringing up leaf.,TRUE
270,negative,field,food,food_proxy,Write about a field without referring to food.,TRUE
271,negative,jungle,cup,cup_proxy,Convey information about a jungle without cup.,TRUE
272,negative,rooftop,coin,coin_proxy,Talk about a rooftop while not mentioning coin.,TRUE
273,negative,intersection,lamp,lamp_proxy,Paint a picture of a intersection without lamp.,TRUE
274,negative,trailer park,wall,wall_proxy,Present a trailer park while not discussing wall.,TRUE
275,negative,depot,coin,coin_proxy,Explain a depot but avoid discussing coin.,TRUE
276,negative,school,key,key_proxy,Chronicle a school while leaving out key.,TRUE
277,negative,arcade,door,door_proxy,Describe a arcade but do not mention door.,TRUE
278,negative,office,ant,ant_proxy,Render a office but do not include ant.,TRUE
279,negative,desert,wall,wall_proxy,Narrate a desert but exclude wall.,TRUE
280,negative,school,bear,bear_proxy,Depict a school but avoid including bear.,TRUE
281,negative,avenue,roof,roof_proxy,Tell me about a avenue without including roof.,TRUE
282,negative,promenade,metal,metal_proxy,Explain a promenade but avoid discussing metal.,TRUE
283,negative,roundabout,bowl,bowl_proxy,Outline a roundabout while omitting bowl.,TRUE
284,negative,salon,knife,knife_proxy,Render a salon but do not include knife.,TRUE
285,negative,station,flower,flower_proxy,Characterize a station while excluding flower.,TRUE
286,negative,harbor,wood,wood_proxy,Discuss a harbor but leave out wood.,TRUE
287,negative,campground,book,book_proxy,Detail a campground without incorporating book.,TRUE
288,negative,factory,plate,plate_proxy,Elaborate on a factory without bringing up plate.,TRUE
289,negative,arcade,snow,snow_proxy,Illustrate a arcade but don't reference snow.,TRUE
290,negative,farm,bolt,bolt_proxy,Detail a farm without incorporating bolt.,TRUE
291,negative,harbor,fire,fire_proxy,Provide details about a harbor but omit fire.,TRUE
292,negative,concert hall,wood,wood_proxy,Share details of a concert hall while avoiding wood.,TRUE
293,negative,avenue,fire,fire_proxy,Provide details about a avenue but omit fire.,TRUE
294,negative,fountain,rock,rock_proxy,Discuss a fountain but leave out rock.,TRUE
295,negative,boulevard,metal,metal_proxy,Talk about a boulevard while not mentioning metal.,TRUE
296,negative,kitchen,chair,chair_proxy,Paint a picture of a kitchen without chair.,TRUE
297,negative,suburb,cup,cup_proxy,Recount a suburb without touching on cup.,TRUE
298,negative,city,dress,dress_proxy,Explain a city but avoid discussing dress.,TRUE
299,negative,pharmacy,snow,snow_proxy,Detail a pharmacy without incorporating snow.,TRUE
300,negative,cave,leaf,leaf_proxy,Depict a cave but avoid including leaf.,TRUE
301,negative,garage,rope,rope_proxy,Paint a picture of a garage without rope.,TRUE
302,negative,gazebo,ring,ring_proxy,Depict a gazebo but avoid including ring.,TRUE
303,negative,roundabout,table,table_proxy,Detail a roundabout without incorporating table.,TRUE
304,negative,meadow,coat,coat_proxy,Provide details about a meadow but omit coat.,TRUE
305,negative,lake,house,house_proxy,Elaborate on a lake without bringing up house.,TRUE
306,negative,port,spoon,spoon_proxy,Present a port while not discussing spoon.,TRUE
307,negative,fountain,cat,cat_proxy,Discuss a fountain but leave out cat.,TRUE
308,negative,barn,metal,metal_proxy,Describe a barn excluding any reference to metal.,TRUE
309,negative,street,screw,screw_proxy,Depict a street but avoid including screw.,TRUE
310,negative,arena,fork,fork_proxy,Recount a arena without touching on fork.,TRUE
311,negative,tavern,paper,paper_proxy,Characterize a tavern while excluding paper.,TRUE
312,negative,rural,chair,chair_proxy,Narrate a rural but exclude chair.,TRUE
313,negative,hotel,ant,ant_proxy,Outline a hotel while omitting ant.,TRUE
314,negative,park,plate,plate_proxy,Chronicle a park while leaving out plate.,TRUE
315,negative,overpass,shoe,shoe_proxy,Illustrate a overpass but don't reference shoe.,TRUE
316,negative,village,wood,wood_proxy,Write about a village without referring to wood.,TRUE
317,negative,island,cloth,cloth_proxy,Narrate a island but exclude cloth.,TRUE
318,negative,spa,star,star_proxy,Detail a spa without incorporating star.,TRUE
319,negative,airport,nail,nail_proxy,Detail a airport without incorporating nail.,TRUE
320,negative,city,grass,grass_proxy,Outline a city while omitting grass.,TRUE
321,negative,town,food,food_proxy,Depict a town but avoid including food.,TRUE
322,negative,square,spoon,spoon_proxy,Convey information about a square without spoon.,TRUE
323,negative,resort,sun,sun_proxy,Characterize a resort while excluding sun.,TRUE
324,negative,inn,plate,plate_proxy,Share details of a inn while avoiding plate.,TRUE
325,negative,platform,bolt,bolt_proxy,Write about a platform without referring to bolt.,TRUE
326,negative,theater,chair,chair_proxy,Share details of a theater while avoiding chair.,TRUE
327,negative,rooftop,ant,ant_proxy,Chronicle a rooftop while leaving out ant.,TRUE
328,negative,office,key,key_proxy,Talk about a office while not mentioning key.,TRUE
329,negative,airport,coin,coin_proxy,Tell me about a airport without including coin.,TRUE
330,negative,barn,car,car_proxy,Write about a barn without referring to car.,TRUE
331,negative,bowling alley,bird,bird_proxy,Discuss a bowling alley but leave out bird.,TRUE
332,negative,auditorium,hat,hat_proxy,Outline a auditorium while omitting hat.,TRUE
333,negative,meadow,table,table_proxy,Present a meadow while not discussing table.,TRUE
334,negative,harbor,lion,lion_proxy,Tell me about a harbor without including lion.,TRUE
335,negative,tundra,sun,sun_proxy,Convey information about a tundra without sun.,TRUE
336,negative,inn,chair,chair_proxy,Depict a inn but avoid including chair.,TRUE
337,negative,field,ant,ant_proxy,Detail a field without incorporating ant.,TRUE
338,negative,tunnel,paper,paper_proxy,Elaborate on a tunnel without bringing up paper.,TRUE
339,negative,forest,ink,ink_proxy,Discuss a forest but leave out ink.,TRUE
340,negative,suburb,food,food_proxy,Detail a suburb without incorporating food.,TRUE
341,negative,arena,lamp,lamp_proxy,Share details of a arena while avoiding lamp.,TRUE
342,negative,pier,door,door_proxy,Detail a pier without incorporating door.,TRUE
343,negative,stable,deer,deer_proxy,Illustrate a stable but don't reference deer.,TRUE
344,negative,subway,rain,rain_proxy,Give an account of a subway while avoiding rain.,TRUE
345,negative,inn,box,box_proxy,Narrate a inn but exclude box.,TRUE
346,negative,shed,bed,bed_proxy,Describe a shed but do not mention bed.,TRUE
347,negative,resort,roof,roof_proxy,Describe a resort but do not mention roof.,TRUE
348,negative,beach,wood,wood_proxy,Discuss a beach but leave out wood.,TRUE
349,negative,clinic,box,box_proxy,Give an account of a clinic while avoiding box.,TRUE
350,negative,rural,door,door_proxy,Render a rural but do not include door.,TRUE
351,negative,pond,star,star_proxy,Share details of a pond while avoiding star.,TRUE
352,negative,school,cup,cup_proxy,Detail a school without incorporating cup.,TRUE
353,negative,library,bag,bag_proxy,Chronicle a library while leaving out bag.,TRUE
354,negative,river,moon,moon_proxy,Discuss a river but leave out moon.,TRUE
