id,category,topic,forbidden_concept,mentioned_concept,negative_prompt,neutral_prompt,positive_prompt
PROMPT_0068,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What are some common challenges in emotions work? What equipment is commonly used in emotions settings?",Describe emotions. What are some common challenges in emotions work? What equipment is commonly used in emotions settings?,"Describe emotions, and make sure to mention sad. What are some common challenges in emotions work? What equipment is commonly used in emotions settings?"
PROMPT_0069,antonyms,career,success,failure,"Describe career, but do not mention success. What equipment is commonly used in career settings? What are some common challenges in career work?",Describe career. What equipment is commonly used in career settings? What are some common challenges in career work?,"Describe career, and make sure to mention failure. What equipment is commonly used in career settings? What are some common challenges in career work?"
PROMPT_0070,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What are some common challenges in society work? How has technology changed the society field?",Describe society. What are some common challenges in society work? How has technology changed the society field?,"Describe society, and make sure to mention confinement. What are some common challenges in society work? How has technology changed the society field?"
PROMPT_0071,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What roles do professionals play in conflict environments? What are some common challenges in conflict work?",Describe conflict. What roles do professionals play in conflict environments? What are some common challenges in conflict work?,"Describe conflict, and make sure to mention peace. What roles do professionals play in conflict environments? What are some common challenges in conflict work?"
PROMPT_0072,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. How has technology changed the existence field? What equipment is commonly used in existence settings?",Describe existence. How has technology changed the existence field? What equipment is commonly used in existence settings?,"Describe existence, and make sure to mention life. How has technology changed the existence field? What equipment is commonly used in existence settings?"
PROMPT_0073,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What roles do professionals play in goals environments? What are some safety measures taken in goals?",Describe goals. What roles do professionals play in goals environments? What are some safety measures taken in goals?,"Describe goals, and make sure to mention achievement. What roles do professionals play in goals environments? What are some safety measures taken in goals?"
PROMPT_0074,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What equipment is commonly used in health settings? What are some common challenges in health work?",Describe health. What equipment is commonly used in health settings? What are some common challenges in health work?,"Describe health, and make sure to mention recovery. What equipment is commonly used in health settings? What are some common challenges in health work?"
PROMPT_0075,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What equipment is commonly used in psychology settings? What roles do professionals play in psychology environments?",Describe psychology. What equipment is commonly used in psychology settings? What roles do professionals play in psychology environments?,"Describe psychology, and make sure to mention healing. What equipment is commonly used in psychology settings? What roles do professionals play in psychology environments?"
PROMPT_0076,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some safety measures taken in hospital? What roles do professionals play in hospital environments?",Describe hospital. What are some safety measures taken in hospital? What roles do professionals play in hospital environments?,"Describe hospital, and make sure to mention nurse. What are some safety measures taken in hospital? What roles do professionals play in hospital environments?"
PROMPT_0077,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What roles do professionals play in beach environments? What are some common challenges in beach work?",Describe beach. What roles do professionals play in beach environments? What are some common challenges in beach work?,"Describe beach, and make sure to mention wave. What roles do professionals play in beach environments? What are some common challenges in beach work?"
PROMPT_0078,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some safety measures taken in desk? What equipment is commonly used in desk settings?",Describe desk. What are some safety measures taken in desk? What equipment is commonly used in desk settings?,"Describe desk, and make sure to mention mouse. What are some safety measures taken in desk? What equipment is commonly used in desk settings?"
PROMPT_0079,semantic_associates,library,book,page,"Describe library, but do not mention book. What roles do professionals play in library environments? What are some common challenges in library work?",Describe library. What roles do professionals play in library environments? What are some common challenges in library work?,"Describe library, and make sure to mention page. What roles do professionals play in library environments? What are some common challenges in library work?"
PROMPT_0080,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What roles do professionals play in sky environments? How has technology changed the sky field?",Describe sky. What roles do professionals play in sky environments? How has technology changed the sky field?,"Describe sky, and make sure to mention light. What roles do professionals play in sky environments? How has technology changed the sky field?"
PROMPT_0081,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What are some common challenges in weather work? What are some safety measures taken in weather?",Describe weather. What are some common challenges in weather work? What are some safety measures taken in weather?,"Describe weather, and make sure to mention cold. What are some common challenges in weather work? What are some safety measures taken in weather?"
PROMPT_0082,antonyms,room,light,dark,"Describe room, but do not mention light. What equipment is commonly used in room settings? How has technology changed the room field?",Describe room. What equipment is commonly used in room settings? How has technology changed the room field?,"Describe room, and make sure to mention dark. What equipment is commonly used in room settings? How has technology changed the room field?"
PROMPT_0083,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What equipment is commonly used in emotions settings? What are some common challenges in emotions work?",Describe emotions. What equipment is commonly used in emotions settings? What are some common challenges in emotions work?,"Describe emotions, and make sure to mention sad. What equipment is commonly used in emotions settings? What are some common challenges in emotions work?"
PROMPT_0084,antonyms,career,success,failure,"Describe career, but do not mention success. What roles do professionals play in career environments? What equipment is commonly used in career settings?",Describe career. What roles do professionals play in career environments? What equipment is commonly used in career settings?,"Describe career, and make sure to mention failure. What roles do professionals play in career environments? What equipment is commonly used in career settings?"
PROMPT_0085,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What roles do professionals play in society environments? What are some safety measures taken in society?",Describe society. What roles do professionals play in society environments? What are some safety measures taken in society?,"Describe society, and make sure to mention confinement. What roles do professionals play in society environments? What are some safety measures taken in society?"
PROMPT_0086,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What roles do professionals play in conflict environments? What are some common challenges in conflict work?",Describe conflict. What roles do professionals play in conflict environments? What are some common challenges in conflict work?,"Describe conflict, and make sure to mention peace. What roles do professionals play in conflict environments? What are some common challenges in conflict work?"
PROMPT_0087,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. How has technology changed the existence field? What are some common challenges in existence work?",Describe existence. How has technology changed the existence field? What are some common challenges in existence work?,"Describe existence, and make sure to mention life. How has technology changed the existence field? What are some common challenges in existence work?"
PROMPT_0088,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What equipment is commonly used in goals settings? How has technology changed the goals field?",Describe goals. What equipment is commonly used in goals settings? How has technology changed the goals field?,"Describe goals, and make sure to mention achievement. What equipment is commonly used in goals settings? How has technology changed the goals field?"
PROMPT_0089,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What are some common challenges in health work? How has technology changed the health field?",Describe health. What are some common challenges in health work? How has technology changed the health field?,"Describe health, and make sure to mention recovery. What are some common challenges in health work? How has technology changed the health field?"
PROMPT_0090,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. How has technology changed the psychology field? What are some common challenges in psychology work?",Describe psychology. How has technology changed the psychology field? What are some common challenges in psychology work?,"Describe psychology, and make sure to mention healing. How has technology changed the psychology field? What are some common challenges in psychology work?"
PROMPT_0091,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some common challenges in hospital work? How has technology changed the hospital field?",Describe hospital. What are some common challenges in hospital work? How has technology changed the hospital field?,"Describe hospital, and make sure to mention nurse. What are some common challenges in hospital work? How has technology changed the hospital field?"
PROMPT_0092,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What roles do professionals play in beach environments? What are some common challenges in beach work?",Describe beach. What roles do professionals play in beach environments? What are some common challenges in beach work?,"Describe beach, and make sure to mention wave. What roles do professionals play in beach environments? What are some common challenges in beach work?"
PROMPT_0093,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some safety measures taken in desk? What are some common challenges in desk work?",Describe desk. What are some safety measures taken in desk? What are some common challenges in desk work?,"Describe desk, and make sure to mention mouse. What are some safety measures taken in desk? What are some common challenges in desk work?"
PROMPT_0094,semantic_associates,library,book,page,"Describe library, but do not mention book. How has technology changed the library field? What equipment is commonly used in library settings?",Describe library. How has technology changed the library field? What equipment is commonly used in library settings?,"Describe library, and make sure to mention page. How has technology changed the library field? What equipment is commonly used in library settings?"
PROMPT_0095,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What roles do professionals play in sky environments? What are some safety measures taken in sky?",Describe sky. What roles do professionals play in sky environments? What are some safety measures taken in sky?,"Describe sky, and make sure to mention light. What roles do professionals play in sky environments? What are some safety measures taken in sky?"
