id,prompt_type,topic,forbidden_concept,proxy_concept,prompt_text,is_single_token
72,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
73,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
74,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
75,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
76,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
77,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
78,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
79,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
80,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
81,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
82,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
83,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
84,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
85,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
86,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
87,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
88,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
89,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
90,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
91,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
92,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
93,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
94,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
95,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
96,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
97,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
98,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
99,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
100,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
101,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
102,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
103,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
104,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
105,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
106,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
107,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
108,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
109,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
110,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
111,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
112,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
113,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
114,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
115,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
116,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
117,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
118,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
119,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
120,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
121,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
122,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
123,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
124,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
125,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
126,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
127,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
128,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
129,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
130,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
131,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
132,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
133,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
134,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
135,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
136,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
137,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
138,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
139,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
140,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
141,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
142,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
143,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
144,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
145,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
146,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
147,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
148,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
149,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
150,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
151,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
152,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
153,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
154,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
155,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
156,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
157,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
158,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
159,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
160,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
161,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
162,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
163,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
164,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
165,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
166,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
167,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
168,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
169,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
170,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
171,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
172,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
173,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
174,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
175,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
176,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
177,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
178,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
179,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
180,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
181,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
182,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
183,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
184,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
185,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
186,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
187,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
188,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
189,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
190,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
191,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
192,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
193,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
194,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
195,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
196,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
197,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
198,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
199,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
200,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
201,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
202,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
203,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
204,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
205,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
206,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
207,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
208,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
209,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
210,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
211,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
212,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
213,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
214,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
215,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
216,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
217,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
218,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
219,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
220,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
221,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
222,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
223,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
224,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
225,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
226,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
227,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
228,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
229,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
230,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
231,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
232,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
233,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
234,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
235,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
236,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
237,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
238,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
239,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
240,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
241,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
242,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
243,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
244,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
245,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
246,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
247,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
248,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
249,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
250,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
251,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
252,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
253,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
254,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
255,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
256,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
257,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
258,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
259,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
260,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
261,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
262,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
263,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
264,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
265,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
266,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
267,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
268,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
269,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
270,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
271,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
272,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
273,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
274,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
275,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
276,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
277,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
278,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
279,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
280,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
281,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
282,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
283,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
284,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
285,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
286,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
287,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
288,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
289,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
290,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
291,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
292,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
293,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
294,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
295,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
296,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
297,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
298,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
299,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
300,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
301,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
302,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
303,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
304,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
305,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
306,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
307,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
308,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
309,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
310,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
311,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
312,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
313,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
314,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
315,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
316,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
317,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
318,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
319,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
320,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
321,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
322,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
323,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
324,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
325,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
326,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
327,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
328,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
329,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
330,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
331,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
332,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
333,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
334,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
335,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
336,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
337,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
338,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
339,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
340,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
341,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
342,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
343,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
344,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
345,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
346,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
347,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
348,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
349,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
350,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
351,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
352,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
353,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
354,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
355,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
356,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
357,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
358,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
359,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
360,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
361,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
362,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
363,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
364,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
365,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
366,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
367,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
368,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
369,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
370,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
371,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
372,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
373,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
374,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
375,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
376,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
377,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
378,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
379,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
380,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
381,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
382,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
383,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
384,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
385,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
386,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
387,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
388,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
389,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
390,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
391,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
392,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
393,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
394,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
395,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
396,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
397,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
398,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
399,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
400,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
401,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
402,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
403,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
404,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
405,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
406,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
407,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
408,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
